timestamp,accel_x,accel_y,accel_z
20241001210050,0.6240692138671875,-0.725555419921875,0.2881927490234375
20241001210051,0.6240692138671875,-0.7169189453125,0.2881927490234375
20241001210053,0.6240692138671875,-0.7169189453125,0.30621337890625
20241001210053,0.623016357421875,-0.7169189453125,0.30621337890625
20241001210054,0.623016357421875,-0.7182159423828125,0.30621337890625
20241001210056,0.623016357421875,-0.7182159423828125,0.3136444091796875
20241001210056,0.6056060791015625,-0.7182159423828125,0.3136444091796875
20241001210057,0.6056060791015625,-0.714508056640625,0.3136444091796875
20241001210059,0.6056060791015625,-0.714508056640625,0.3033599853515625
20241001210059,0.6561431884765625,-0.714508056640625,0.3033599853515625
20241001210100,0.6561431884765625,-0.6831512451171875,0.3033599853515625
